"timestamp","value"
1492077600000,98.44849774087155
1492077660000,98.29938397916426
1492077720000,98.24537711571375
1492077780000,98.35798151167623
1492077840000,98.38144646990273
1492077900000,98.28975581572496
1492077960000,98.32035302361584
1492078020000,98.3035464347332
1492078080000,98.32935664815341
1492078140000,98.30149942533917
1492078200000,98.35506802233571
1492078260000,98.39140419874894
1492078320000,98.39782138776941
1492078380000,98.32151206142193
1492078440000,98.3241109740607
1492078500000,98.40036096135329
1492078560000,98.33163035124228
1492078620000,98.28993502999269
1492078680000,98.19914323344973
1492078740000,98.34225420096611
1492078800000,98.34220632931653
1492078860000,98.3942787606817
1492078920000,98.40628108359348
1492078980000,98.36562007040561
1492079040000,98.4178900738243
1492079100000,98.32685622447221
1492079160000,98.40575686884793
1492079220000,98.40641253751241
1492079280000,98.3505708384559
1492079340000,98.39764695552921
1492079400000,98.38230145790163
1492079460000,98.37938347531785
1492079520000,98.24791128042592
1492079580000,98.354220651393
1492079640000,98.31359301329645
1492079700000,98.3494400830553
1492079760000,98.36635678987776
1492079820000,98.32808328118114
1492079880000,98.38215473718151
1492079940000,98.35475517546324
1492080000000,98.37257449507217
1492080060000,98.32253649318764
1492080120000,98.35363986748175
1492080180000,98.42958883401934
1492080240000,98.32997451968755
1492080300000,98.36518723994452
1492080360000,98.33224959919201
1492080420000,98.38311620301106
1492080480000,98.29494130692463
1492080540000,98.33385126901327
1492080600000,98.37535475846117
1492080660000,98.36279720373817
1492080720000,98.31203185613107
1492080780000,98.35987643338484
1492080840000,98.34864130480861
1492080900000,98.282430547054
1492080960000,98.35012740147879
1492081020000,98.31739011657467
